iter	Logloss
237	0.5328314591
238	0.532726089
239	0.5325869029
240	0.5325228924
241	0.5324595641
242	0.5323913774
243	0.5323610783
244	0.5323257169
245	0.5323070098
246	0.5322163763
247	0.5320843606
248	0.5320407085
249	0.5319950127
250	0.5318947772
251	0.5317806828
252	0.5317237015
253	0.5316911962
254	0.5316344062
255	0.5315774057
256	0.5315773799
257	0.531483019
258	0.5314279704
259	0.5313372425
260	0.5312922492
261	0.5311575264
262	0.5311415818
263	0.5310864724
264	0.5310695686
265	0.5310691443
266	0.5310550103
267	0.531014423
268	0.530892618
269	0.5308652926
270	0.5308260971
271	0.5307724088
272	0.5307051277
273	0.5306715486
274	0.5306623419
275	0.5305531264
276	0.530476729
277	0.5304364826
278	0.5304050515
279	0.5303469594
280	0.5303312511
281	0.5302417959
282	0.5301591217
283	0.5301245852
284	0.5300730142
285	0.5300135494
286	0.5299708829
287	0.5298762828
288	0.529836549
289	0.5297242471
290	0.5296694428
291	0.5296084148
292	0.5295299604
293	0.5294592394
294	0.5294290523
295	0.52934145
296	0.529312805
297	0.5292475836
298	0.5292035134
299	0.5291346641
300	0.5290720651
301	0.5289802367
302	0.528864876
303	0.5287886564
304	0.5287670115
305	0.5287376343
306	0.5286918169
307	0.528598436
308	0.5284625325
309	0.5283678277
310	0.5283290941
311	0.5282931659
312	0.5281888588
313	0.5281461244
314	0.5280713521
315	0.5280171754
316	0.5279312389
317	0.5278358512
318	0.5277770974
319	0.5277355297
320	0.5277216065
321	0.527666481
322	0.5275787485
323	0.5274827464
324	0.5273993427
325	0.527357204
326	0.5273170348
327	0.5273166304
328	0.5272486465
329	0.5271638613
330	0.5271252946
331	0.5270710722
332	0.5269937893
333	0.5269514001
334	0.5269143241
335	0.526885246
336	0.5267421993
337	0.5267244012
338	0.5266352663
339	0.5265413332
340	0.5264700237
341	0.5264224548
342	0.5263376794
343	0.5262647526
344	0.5262142983
345	0.5261137204
346	0.5260675814
347	0.5259873707
348	0.5259282969
349	0.5258626051
350	0.5257985873
351	0.5257062774
352	0.5256593741
353	0.5256383093
354	0.525548671
355	0.5254974866
356	0.5253980625
357	0.5252516931
358	0.5251939606
359	0.5251067518
360	0.5250473313
361	0.5250063052
362	0.5249162473
363	0.5247932267
364	0.52470636
365	0.5246252204
366	0.5245713914
367	0.5245326943
368	0.5245027551
369	0.5243855465
370	0.5243386979
371	0.5242253202
372	0.5241565059
373	0.524087641
374	0.524043136
375	0.5239918757
376	0.5239325422
377	0.5238526956
378	0.5237994713
379	0.5236903127
380	0.5236453805
381	0.5235259669
382	0.5234461788
383	0.5233843571
384	0.5233487691
385	0.5232570836
386	0.5231908046
387	0.5231659823
388	0.5231112735
389	0.5230228675
390	0.522924858
391	0.5228418418
392	0.5227790116
393	0.5226591975
394	0.5226142841
395	0.5224916288
396	0.522370374
397	0.5222647795
398	0.5221398024
399	0.5220237308
400	0.5219455373
401	0.5218695202
402	0.5217745641
403	0.5217281411
404	0.5216930201
405	0.5216565783
406	0.5216565782
407	0.5215807795
408	0.5215290604
409	0.5214748026
410	0.5213929522
411	0.5213339162
412	0.5212934637
413	0.5211902722
414	0.5211362261
415	0.5209912696
416	0.5209406903
417	0.5208521794
418	0.5207542456
419	0.5206747486
420	0.5206163376
421	0.5205242721
422	0.5204416384
423	0.5203506872
424	0.5202855946
425	0.5201331776
426	0.5200445418
427	0.5199987836
428	0.519949941
429	0.519839933
430	0.5197721318
431	0.5196988323
432	0.5196335829
433	0.5194977498
434	0.5194546946
435	0.5193577898
436	0.5192941326
437	0.5192538937
438	0.5191641812
439	0.5191587433
440	0.5190205688
441	0.5189620264
442	0.5189027219
443	0.5188323998
444	0.5187602634
445	0.5186783781
446	0.518607558
447	0.5184983665
448	0.5184394816
449	0.5183853051
450	0.5182740338
451	0.5182499661
452	0.5182249144
453	0.518117987
454	0.5180542356
455	0.5179840937
456	0.5179706365
457	0.5178486389
458	0.5178332537
459	0.5177849144
460	0.5177348204
461	0.5176329406
462	0.517509183
463	0.5175086782
464	0.5174685128
465	0.5173874585
466	0.5172803841
467	0.5172282234
468	0.5172031645
469	0.5171455637
470	0.517105258
471	0.5170602889
472	0.5170098622
473	0.5169381064
474	0.5168971
475	0.5168123238
476	0.5167393784
477	0.5166535439
478	0.516544468
479	0.5163879636
480	0.5163808931
481	0.5163054316
482	0.5162806911
483	0.5162357623
484	0.5161523051
485	0.5161130652
486	0.5160309642
487	0.5159614689
488	0.5159111359
489	0.5157878366
490	0.515710998
491	0.5156716549
492	0.5156140689
493	0.5155554476
494	0.5154202089
495	0.5153601301
496	0.5152851843
497	0.5152087406
498	0.5151505746
499	0.5150700283
500	0.5149721241
501	0.5148899508
502	0.5147750751
503	0.514703238
504	0.5146304738
505	0.5145745854
506	0.5145187055
507	0.5144269426
508	0.5143875978
509	0.5142703345
510	0.5142080902
511	0.5141719789
512	0.514098314
513	0.5140302953
514	0.5139935651
515	0.5139930414
516	0.5139578407
517	0.5138677247
518	0.5138454858
519	0.5137817875
520	0.5137388435
521	0.5136263106
522	0.513575681
523	0.5135110321
524	0.5134092712
525	0.5133207448
526	0.5132727852
527	0.5132411397
528	0.5131805309
529	0.5131215618
530	0.5130232556
531	0.5129842694
532	0.5128898805
533	0.512828954
534	0.5127757751
535	0.5127114038
536	0.5126757171
537	0.5125879017
538	0.512518577
539	0.5124526077
540	0.5123658974
541	0.5123334281
542	0.5122661413
